feature,importance
log_prcod,0.014364497304002626
log_prccd,0.01148605050592251
log_prchd,0.004911121737876856
m_w,0.004118928959912765
grvol,0.0032978575716323135
neu,0.0032844656281517527
m_2w,0.0016616113934955774
pos,0.0015951280005019684
log_prcld,0.001532875429276038
neg,0.0014323366054079145
log_vol,0.00101884095916485
size,0.0006389389061948899
Rel2High,0.0003974427752430667
Trunover,0.0001614826752305262
m_6m,0.00015050561100954198
Rel2low,0.00014153201993706972
m_2m,0.000134122217518502
m_m,0.00010324411768422901
m_3m,5.2279641075525014e-05
Max_y,1.480779304491286e-05
eps,1.3140850527136423e-05
Min_y,9.247088413343453e-06
divd,8.195360453015443e-06
spread,8.137682981700638e-07
sp_opclose,3.4415419971238336e-07
grshrout,1.924492408460283e-07
capgn,0.0
